anzsco_code,raw_title,title_type_code,title_type,jurisdiction_scope,occupation_title,normalised_title,major_group_code,sub_major_group_code,minor_group_code,unit_group_code,major_group_label,preferred_occupation_title,preferred_title_type,preferred_jurisdiction_scope,is_preferred_title
324211,Coach Builder (S),S,specialisation,Generic,Coach Builder,coach builder,3,32,324,3242,Technicians and Trades Workers,Vehicle Body Builder,principal,Generic,False
324212,Vehicle Trimmer (P),P,principal,Generic,Vehicle Trimmer,vehicle trimmer,3,32,324,3242,Technicians and Trades Workers,Vehicle Trimmer,principal,Generic,True
324212,Vehicle Upholsterer (S),S,specialisation,Generic,Vehicle Upholsterer,vehicle upholsterer,3,32,324,3242,Technicians and Trades Workers,Vehicle Trimmer,principal,Generic,False
324311,Vehicle Painter (P),P,principal,Generic,Vehicle Painter,vehicle painter,3,32,324,3243,Technicians and Trades Workers,Vehicle Painter,principal,Generic,True
324311,Vehicle Refinisher (A),A,alternative,Generic,Vehicle Refinisher,vehicle refinisher,3,32,324,3243,Technicians and Trades Workers,Vehicle Painter,principal,Generic,False
331111,Bricklayer (P),P,principal,Generic,Bricklayer,bricklayer,3,33,331,3311,Technicians and Trades Workers,Bricklayer,principal,Generic,True
331111,Blocklayer (A),A,alternative,Generic,Blocklayer,blocklayer,3,33,331,3311,Technicians and Trades Workers,Bricklayer,principal,Generic,False
331111,Arch Builder (S),S,specialisation,Generic,Arch Builder,arch builder,3,33,331,3311,Technicians and Trades Workers,Bricklayer,principal,Generic,False
331111,Chimney Builder (S),S,specialisation,Generic,Chimney Builder,chimney builder,3,33,331,3311,Technicians and Trades Workers,Bricklayer,principal,Generic,False
331111,Refractory Bricklayer (S),S,specialisation,Generic,Refractory Bricklayer,refractory bricklayer,3,33,331,3311,Technicians and Trades Workers,Bricklayer,principal,Generic,False
331111,Retort Setter (Bricklaying) (S),S,specialisation,Generic,Retort Setter (Bricklaying),retort setter bricklaying,3,33,331,3311,Technicians and Trades Workers,Bricklayer,principal,Generic,False
331111,Tuckpointer (S),S,specialisation,Generic,Tuckpointer,tuckpointer,3,33,331,3311,Technicians and Trades Workers,Bricklayer,principal,Generic,False
331112,Stonemason (P),P,principal,Generic,Stonemason,stonemason,3,33,331,3311,Technicians and Trades Workers,Stonemason,principal,Generic,True
331112,Construction Stonemason (S),S,specialisation,Generic,Construction Stonemason,construction stonemason,3,33,331,3311,Technicians and Trades Workers,Stonemason,principal,Generic,False
331112,Monumental Stonemason (S),S,specialisation,Generic,Monumental Stonemason,monumental stonemason,3,33,331,3311,Technicians and Trades Workers,Stonemason,principal,Generic,False
331211,Carpenter and Joiner (P),P,principal,Generic,Carpenter and Joiner,carpenter and joiner,3,33,331,3312,Technicians and Trades Workers,Carpenter and Joiner,principal,Generic,True
331211,Shopfitter (S),S,specialisation,Generic,Shopfitter,shopfitter,3,33,331,3312,Technicians and Trades Workers,Carpenter and Joiner,principal,Generic,False
331212,Carpenter (P),P,principal,Generic,Carpenter,carpenter,3,33,331,3312,Technicians and Trades Workers,Carpenter,principal,Generic,True
331212,Fixing Carpenter (S),S,specialisation,Generic,Fixing Carpenter,fixing carpenter,3,33,331,3312,Technicians and Trades Workers,Carpenter,principal,Generic,False
331212,Formwork Carpenter (S),S,specialisation,Generic,Formwork Carpenter,formwork carpenter,3,33,331,3312,Technicians and Trades Workers,Carpenter,principal,Generic,False
331212,Prop and Scenery Maker (S),S,specialisation,Generic,Prop and Scenery Maker,prop and scenery maker,3,33,331,3312,Technicians and Trades Workers,Carpenter,principal,Generic,False
331213,Joiner (P),P,principal,Generic,Joiner,joiner,3,33,331,3312,Technicians and Trades Workers,Joiner,principal,Generic,True
331213,Joinery Machinist (S),S,specialisation,Generic,Joinery Machinist,joinery machinist,3,33,331,3312,Technicians and Trades Workers,Joiner,principal,Generic,False
331213,Joinery Patternmaker (S),S,specialisation,Generic,Joinery Patternmaker,joinery patternmaker,3,33,331,3312,Technicians and Trades Workers,Joiner,principal,Generic,False
331213,Joinery Setter-out (S),S,specialisation,Generic,Joinery Setter-out,joinery setter out,3,33,331,3312,Technicians and Trades Workers,Joiner,principal,Generic,False
