anzsco_code,occupation_title,national_shortage_rating,victoria_shortage_rating,skill_level,major_group_code,major_group_label
712917,Railway Signal Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
149412,Railway Station Manager,No Shortage,No Shortage,2,1,Managers
721914,Railway Track Plant Operator,Shortage,Shortage,4,7,Machinery Operators and Drivers
821611,Railway Track Worker,Shortage,Shortage,4,8,Labourers
612113,Real Estate Agency Principal / Real Estate Agency Licensee,No Shortage,No Shortage,2,6,Sales Workers
612114,Real Estate Agent,No Shortage,No Shortage,3,6,Sales Workers
612115,Real Estate Representative,No Shortage,No Shortage,3,6,Sales Workers
542111,Receptionist (General),No Shortage,No Shortage,4,5,Clerical and Administrative Workers
224214,Records Manager,No Shortage,No Shortage,1,2,Professionals
272612,Recreation Officer / Recreation Coordinator,No Shortage,No Shortage,1,2,Professionals
223112,Recruitment Consultant,No Shortage,No Shortage,1,2,Professionals
423413,Refuge Worker,No Shortage,No Shortage,3,4,Community and Personal Service Workers
